ticker,date1,sentiment
DOT,2023-01-09,0.04526
DOT,2023-01-08,0.41225
DOT,2023-01-07,0.32759
DOT,2023-01-06,0.49098
DOT,2023-01-05,0.25416
DOT,2023-01-04,0.39572
DOT,2023-01-03,0.32327
DOT,2023-01-02,0.42588
DOT,2023-01-01,0.3599
DOT,2022-12-31,0.27481
DOT,2022-12-30,0.14115
DOT,2022-12-29,-0.22058
DOT,2022-12-28,-0.00282
DOT,2022-12-27,-0.03527
DOT,2022-12-26,0.07306
DOT,2022-12-25,0.17013
DOT,2022-12-24,-0.10972
DOT,2022-12-23,0.21761
DOT,2022-12-22,0.37981
DOT,2022-12-21,0.28268
DOT,2022-12-20,0.25991
DOT,2022-12-19,0.23886
DOT,2022-12-18,0.67846
DOT,2022-12-17,0.65323
DOT,2022-12-16,0.21282
DOT,2022-12-15,0.36764
DOT,2022-12-14,0.51445
DOT,2022-12-13,0.3228
DOT,2022-12-12,0.4944
DOT,2022-12-11,0.19768
DOT,2022-12-10,-0.03261
DOT,2022-12-09,0.23482
DOT,2022-12-08,0.39111
DOT,2022-12-07,0.37053
DOT,2022-12-06,0.36578
DOT,2022-12-05,0.12236
DOT,2022-12-04,0.22316
DOT,2022-12-03,0.41508
DOT,2022-12-02,0.53029
DOT,2022-12-01,0.39862
DOT,2022-11-30,0.25352
DOT,2022-11-29,0.27076
DOT,2022-11-28,0.18879
DOT,2022-11-27,0.38107
DOT,2022-11-26,0.02207
DOT,2022-11-25,0.20544
DOT,2022-11-24,0.05257
DOT,2022-11-23,0.25139
DOT,2022-11-22,0.28846
DOT,2022-11-21,0.20641
